Instruction,EL0,EL1,EL2,EL3
ABS_32_dp_1src,Allowed,Allowed,Allowed,Allowed
ABS_64_dp_1src,Allowed,Allowed,Allowed,Allowed
ADCS_32_addsub_carry,Allowed,Allowed,Allowed,Allowed
ADCS_64_addsub_carry,Allowed,Allowed,Allowed,Allowed
ADC_32_addsub_carry,Allowed,Allowed,Allowed,Allowed
ADC_64_addsub_carry,Allowed,Allowed,Allowed,Allowed
ADDS_32S_addsub_ext,Conditional,Conditional,Conditional,Conditional
ADDS_32S_addsub_imm,Allowed,Allowed,Allowed,Allowed
ADDS_32_addsub_shift,Allowed,Allowed,Allowed,Allowed
ADDS_64S_addsub_ext,Conditional,Conditional,Conditional,Conditional
ADDS_64S_addsub_imm,Allowed,Allowed,Allowed,Allowed
ADDS_64_addsub_shift,Allowed,Allowed,Allowed,Allowed
ADD_32_addsub_ext,Conditional,Conditional,Conditional,Conditional
ADD_32_addsub_imm,Allowed,Allowed,Allowed,Allowed
ADD_32_addsub_shift,Allowed,Allowed,Allowed,Allowed
ADD_64_addsub_ext,Conditional,Conditional,Conditional,Conditional
ADD_64_addsub_imm,Allowed,Allowed,Allowed,Allowed
ADD_64_addsub_shift,Allowed,Allowed,Allowed,Allowed
ADRP_only_pcreladdr,Allowed,Allowed,Allowed,Allowed
ADR_only_pcreladdr,Allowed,Allowed,Allowed,Allowed
ANDS_32S_log_imm,Allowed,Allowed,Allowed,Allowed
ANDS_32_log_shift,Allowed,Allowed,Allowed,Allowed
ANDS_64S_log_imm,Allowed,Allowed,Allowed,Allowed
ANDS_64_log_shift,Allowed,Allowed,Allowed,Allowed
AND_32_log_imm,Allowed,Allowed,Allowed,Allowed
AND_32_log_shift,Allowed,Allowed,Allowed,Allowed
AND_64_log_imm,Allowed,Allowed,Allowed,Allowed
AND_64_log_shift,Allowed,Allowed,Allowed,Allowed
ASRV_32_dp_2src,Allowed,Allowed,Allowed,Allowed
ASRV_64_dp_2src,Allowed,Allowed,Allowed,Allowed
AXFLAG_M_pstate,Allowed,Allowed,Allowed,Allowed
BC_only_condbranch,Allowed,Allowed,Allowed,Allowed
BFM_32M_bitfield,Allowed,Allowed,Allowed,Allowed
BFM_64M_bitfield,Allowed,Allowed,Allowed,Allowed
BICS_32_log_shift,Allowed,Allowed,Allowed,Allowed
BICS_64_log_shift,Allowed,Allowed,Allowed,Allowed
BIC_32_log_shift,Allowed,Allowed,Allowed,Allowed
BIC_64_log_shift,Allowed,Allowed,Allowed,Allowed
BLR_64_branch_reg,Allowed,Allowed,Allowed,Allowed
BL_only_branch_imm,Allowed,Allowed,Allowed,Allowed
BR_64_branch_reg,Allowed,Allowed,Allowed,Allowed
BTI_HB_hints,Allowed,Allowed,Allowed,Allowed
B_only_branch_imm,Allowed,Allowed,Allowed,Allowed
B_only_condbranch,Allowed,Allowed,Allowed,Allowed
CASAB_C32_comswap,Allowed,Allowed,Allowed,Allowed
CASAH_C32_comswap,Allowed,Allowed,Allowed,Allowed
CASALB_C32_comswap,Allowed,Allowed,Allowed,Allowed
CASALH_C32_comswap,Allowed,Allowed,Allowed,Allowed
CASAL_C32_comswap,Allowed,Allowed,Allowed,Allowed
CASAL_C64_comswap,Allowed,Allowed,Allowed,Allowed
CASA_C32_comswap,Allowed,Allowed,Allowed,Allowed
CASA_C64_comswap,Allowed,Allowed,Allowed,Allowed
CASB_C32_comswap,Allowed,Allowed,Allowed,Allowed
CASH_C32_comswap,Allowed,Allowed,Allowed,Allowed
CASLB_C32_comswap,Allowed,Allowed,Allowed,Allowed
CASLH_C32_comswap,Allowed,Allowed,Allowed,Allowed
CASL_C32_comswap,Allowed,Allowed,Allowed,Allowed
CASL_C64_comswap,Allowed,Allowed,Allowed,Allowed
CAS_C32_comswap,Allowed,Allowed,Allowed,Allowed
CAS_C64_comswap,Allowed,Allowed,Allowed,Allowed
CBNZ_32_compbranch,Allowed,Allowed,Allowed,Allowed
CBNZ_64_compbranch,Allowed,Allowed,Allowed,Allowed
CBZ_32_compbranch,Allowed,Allowed,Allowed,Allowed
CBZ_64_compbranch,Allowed,Allowed,Allowed,Allowed
CCMN_32_condcmp_imm,Allowed,Allowed,Allowed,Allowed
CCMN_32_condcmp_reg,Allowed,Allowed,Allowed,Allowed
CCMN_64_condcmp_imm,Allowed,Allowed,Allowed,Allowed
CCMN_64_condcmp_reg,Allowed,Allowed,Allowed,Allowed
CCMP_32_condcmp_imm,Allowed,Allowed,Allowed,Allowed
CCMP_32_condcmp_reg,Allowed,Allowed,Allowed,Allowed
CCMP_64_condcmp_imm,Allowed,Allowed,Allowed,Allowed
CCMP_64_condcmp_reg,Allowed,Allowed,Allowed,Allowed
CFINV_M_pstate,Allowed,Allowed,Allowed,Allowed
CHKFEAT_HF_hints,Allowed,Allowed,Allowed,Allowed
CLRBHB_HI_hints,Allowed,Allowed,Allowed,Allowed
CLREX_BN_barriers,Allowed,Allowed,Allowed,Allowed
CLS_32_dp_1src,Allowed,Allowed,Allowed,Allowed
CLS_64_dp_1src,Allowed,Allowed,Allowed,Allowed
CLZ_32_dp_1src,Allowed,Allowed,Allowed,Allowed
CLZ_64_dp_1src,Allowed,Allowed,Allowed,Allowed
CNT_32_dp_1src,Allowed,Allowed,Allowed,Allowed
CNT_64_dp_1src,Allowed,Allowed,Allowed,Allowed
CPYFMN_CPY_memcms,Not allowed (undefined),Not allowed (undefined),Conditional,Conditional
CPYFMRN_CPY_memcms,Not allowed (undefined),Not allowed (undefined),Conditional,Conditional
CPYFMRTN_CPY_memcms,Not allowed (undefined),Not allowed (undefined),Conditional,Conditional
CPYFMRTRN_CPY_memcms,Not allowed (undefined),Not allowed (undefined),Conditional,Conditional
CPYFMRTWN_CPY_memcms,Not allowed (undefined),Not allowed (undefined),Conditional,Conditional
CPYFMRT_CPY_memcms,Not allowed (undefined),Not allowed (undefined),Conditional,Conditional
CPYFMTN_CPY_memcms,Not allowed (undefined),Not allowed (undefined),Conditional,Conditional
